given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,canonical_id
davd,shepherd,3,eggers olace,ainslieh ouse,nubeena,4869,nsw,19380403,6575835,84
jare,innis,9,gingana street,,cooloongup,2011,qld,19170426,2049123,85
sophie,blackwekl,34,nott sgreet,jorobe,lansvale,6149,nsw,19501128,7543684,86
talan,dietrich,35,hacking crescent,tall pines,mosmtn,2903,vic,19490712,9469771,87
osyar,hartland,16,prout place,gummin gummin,molong,3218,nsw,19440709,6879379,88
connor,foall,17,lamb p lace,berri cottage hmes,kilsyth,3174,qld,19140927,4900414,89
thomaus,campbell,35,lethbridge street,scenic lodge,paddington,2450,nsw,19610710,5974512,90
jasmine,stancombe,41,roseby street,,dulwich hill,2068,wa,19980319,8947188,91
nicholas,matson,,stephen street,taylors crevk bridge,cowdll,2474,vic,,3182512,92
ned,hamblin,1,bokhara c ircuit,,ballarat,5012,,19150226,9945787,93
erin,krollig,10,wellslroad,rosehill,auburn,5068,sa,,9780684,94
jayden,gazzola,23,star court arcade,temperley street,dorrigo,2035,qld,19560809,7207945,95
jacobie,shepherdson,316,augusta court,pnda,ardeer,5069,nt,19830606,2226979,96
jaemo,clatke,119,moondarra street,de cameron,tweedhaeds,3095,vic,19061129,6889594,97
alessia,smithson,,shandon place,amarillo,boorowa,6002,vic,19421105,6639770,98
andrew,wang,9,barrington crescent,summe rhill,orford,2795,nsw,19260203,4852197,99
chritsopher,gazozla,10,franks p lace,citi detre,alice springs,6009,qld,19630524,4662409,100
revee,noble,7,finlaysonplace,nordal e farm,bellevue hill,4032,wa,19080324,7109523,101
andr ew,renfrey,23,woolner circuit,mindaree,,3844,nsw,19490115,9309636,102
kyle,straczek,1,hardwick crescent,the willows,blacktown,2100,vic,19160506,4656343,103
bethany,white,24,,hybernia park,bittern,3075,vic,19910219,8903580,104
xanthe,rasic,16,anice-ohn,ivo whitton circuit,mulgrave east,2330,vic,19520527,5541516,105
lucy,callahan,73,bainbridbe close,bungarra,rowville,4209,vic,19430602,9663021,106
,brain,31,benham street,tagarra,belmont,3161,nsw,19860305,8028191,107
ethan,paie,111,galloway street,hvd cottage,largs,4680,vic,19190329,5356894,108
shai,leung,15,grant hostel room,canopus crescent,metung,2147,nsw,19230106,8789495,109
jayde n,white,10,mcclintock street,,melvilke,4308,nsw,19590819,2360230,110
nicholsa,ho,13,newdegate street,villa 2,elwood,4061,nsw,19680630,7806235,111
sam,matthews,15,parkin treet,hawkins mas onic vlge,camp hill,4305,vic,19131126,8110517,112
sian,debt,12,kaeppel place,walhalla,belmont north,5253,sa,19470506,9599013,113
tiarna,whitd,1,faucett street,dallyn,childers,4880,qld,19310412,3803605,114
joshua,red,416,mcburney rescent,karingal farm,bayswater north,2165,vic,19160311,3652623,115
layla,,71,howitt street,oaklan,kirwhan,4210,wa,19201015,4834950,116
emiily,maida,27,beaneystreet,blue gum park,padstow,3340,qld,19790818,7320684,117
charlee,ponsford,,hawker stdreet,locn 449,harbord,2234,nsw,19290803,8863899,118
jadkson,thorpe,21,grayso nstreet,kilwinning,daisy hill,3058,nsw,19460526,3307556,119
porti a,coumans,6,,silverweir,gordonvale,3875,qld,,6637994,120
liam,webr,559,george street,,newmarket,4505,qld,19950329,4718403,121
paris,nguyen,13,forest vi ews,moroak street,cranbourne,2217,qld,19010108,1825355,122
jade,clarke,63,fred william s crescent,plaiview,kitchener,3127,nsw,19350407,4177666,123
brydon,macgowan,14,jaeger circuit,glenview,,7262,,19130615,8190321,124
thomas,webb,7,scottsdale street,,brighton,6052,vic,19990815,9760969,125
thomas,egan,9,theiron farm,elvire lace,parkside,3042,nsw,19380131,6564635,126
hayley,maclennan,9,throsby crsecent,alabama,forrestfield,3825,vic,19331030,6913354,127
matthew,nurse,64,cygnet rescent,,portarlington,3840,nsw,19670101,6591571,128
jake,mccart hy,19,jacobs street,the richard house,hoppersc rossing,3021,vic,19501129,9421400,129
jasmine,matthews,25,osburndrive,marathon mews,burwood,3158,wa,19691211,9299325,130
amelia,cochrane,74,morrow st reet,riverside professional centre,slacks creek,2084,tas,19220112,5154778,131
arren,matthews,,coombe street,ballyoby,wahroonga,3617,nsw,19860121,8047381,132
madeline,liteploj,28,mckayg arden,kangaroo grnd,creswick,2871,nsw,19640410,9933895,133
ab bey,milburn,18,dixson circuit,the willows,roseb ud,5057,qld,19631114,4451215,134
noag,bishop,12,stobieu place,highgate,bailey creek,2134,qld,19130403,4950296,135
alexandra,nguyen,26,fremanthe drive,merricroft,hightno,6532,nsw,19440220,2682401,136
charlotte,,234,mcgee pkace,alla ndale,cranbourne,3124,vic,19310603,8602736,137
brock,webb,6,twamley crescent,old weeroona,port augusta,3199,wa,19550621,6492579,138
benjamin,boccukzzo,1,ashley drive,oyster farm,buckleboo,3165,sa,19730308,5401507,139
daniel,dinh,7,liffey circuit,rajamare,franks gon,3266,nsw,19941115,5337955,140
alicia,beat y,6,thomas scitt village,fred williams crescent,mackay north,2074,nsw,19591014,7678577,141
el ton,nobel,1,willows trees,molineaux lpace,port v incent,2208,qld,19350729,1466352,142
cassidy,campbldl,623,luffman crescent,cherrbyank,sussex inlet,3165,vic,19160322,6984823,143
jack,went,25,st johns retirement,noble close,rivett,7252,nsw,19550905,8449880,144
natasha,clarke,63,mallanganee,tasmania circle,whitemore,2840,sa,19710223,5969104,145
william,ryan,1,fortitude street,hd of solomon,atherton,2206,qld,19520613,8994180,146
taliaw,collinson,20,oliver street,,paraburdoo,3197,nsw,19320209,1496537,147
bfody,lowe,100,waller crescent,keaonr,armidale,4055,sa,19900409,8444970,148
ruby,grobler,128,lonsdale srteet,tallinga park,newbridge,2105,nsw,19190104,5332690,149
alexander,drbmis,47,feltus pkace,springbanks,highton,2041,nsw,19571119,4370533,150
stephanie,tuckwell,6,weddin circuit,hillsidrfarm,scarborough,4125,sa,19920918,7564218,151
benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,6107392,152
emiily,capel,1721,burkitts treet,locn 1025,ascot vale,4053,nsw,19341111,4646376,153
julia,worsley,9,aggie place,,bellevuem hill,2877,nsw,19780815,5650768,154
hannah,insley,4,wanganeen avenue,plumptonpark,drysdale,3199,vic,19921024,3031015,155
elij ah,coleman,43,gledden street,maelkula,granville,2322,qld,19821231,1566439,156
emma,wevb,11,baracchi crescent,thornbrook,eight mil e plains,3016,qld,19910314,5201994,157
ella,blkae,14,mckinlay street,cape hawke hosptl medcl centre,wendouree,2060,sa,19770427,9846556,158
jayden,green,31,balanu place,,rainworth,6151,nsw,19870321,6103878,159
zalka,glennon,158,florence tayllr street,,mansfield,4014,qld,19150226,9056397,160
lewis,westbrook,14,hutchison crescent,ohio staiton,seaforth,4128,vic,19081217,3566029,161
maya,,11,tucana steeet,bombowlee,dianella,2795,nsw,19880218,2732680,162
jasper,miles,20,narryer close,moondah,nambour,1413,vic,,3809763,163
katharine,penno,16,cuthbertcircuit,brentwood vlge,,3215,qld,19491225,1089142,164
benjamin,kapioldassis,199,farrelly close,texass wtation,goodwood,3197,nsw,19860801,6377421,165
chelsea,pontt,91,gellibrand street,shelomith,petersham,2166,vic,19350130,3454949,166
caitlin,milburn,17,heard ptreet,lexington,newborough,2840,qld,19530105,3195330,167
talia,millaf,20,la perous e street,,kellyfville,2250,wa,19800606,3894135,168
moly,hannagan,15,the verge,the stockyards,ballarat,6027,nsw,19241115,9178151,169
isobel,dreckow,10,landor p lace,harkyn,old toon gabbie,2650,qld,19101019,2584672,170
brooe,clarke,4,namadgi circuit,emerald tgarden,ascot vale,5031,vic,19430823,6719097,171
ethan,,1,masonic bi ks place,ridgebdook,aspendale gardens,2069,wa,19520318,8666305,172
daniel,dreckow,39,govettplace,gogulge r stock,preston,6210,vic,19510111,3162776,173
benjabmin,royins,35,bootle place,denmore,floreat,2756,vic,19100121,6512947,174
benjamin,morrison,2487,noongale court,fairfield waters,st alnans,2840,vic,19520110,9155694,175
jackson,spanton,108,sargeantnplace,waioma,race viww,4500,qld,19680828,1159113,176
brooke,broadby,13,smith street,golden ponds resort,petrie,4076,qld,19101119,1067112,177
sarah,campbell,6,loddon street,,miasmi,3227,qld,19321221,5872484,178
imogen,broadby,70,letters street,jemalong retrmnt vlge,frankston,3194,vic,19840516,5771467,179
kaleb,george,35,troughtoncstreet,inglewood,aldgate,5159,vic,19980115,1830121,180
joshua,londrigan,15,mayo strevet,pacificzfhaven,wendouree,2505,sa,19450424,4184958,181
samantha,,,o'sullivan street,brentwood vlge,yarra jubction,7320,vic,19380113,3912051,182
emi ilu,allard,19,kingsbury street,moons farm,broken hill,4218,nsw,19760502,6633337,183
mitchell,birkin,4,birdwood street,anglicanchaurch,bonville,3214,qld,19810614,4271401,184
tylee,berryman,223,broad place,villai3,clayton,6355,vic,19901803,2531288,185
adele,shorrock,116,mack street,manor park,connollt,3149,nsw,19080107,1788372,186
madalyn,noble,21,,caroonavillage,mathinna,4051,nsw,19460804,7883652,187
ebonfy,garcia,,rylah crescent,,waratah west,7310,tas,19630715,9950832,188
emiily,miels,15,dartnell street,murrawarra,woodgate,7310,tas,19280417,6959390,189
,faehse,65,henry melville crescent,,wanniassa,2173,vic,19490602,9923153,190
oliver,verner,29,mcnicollstreet,sunbuey,berlaa,3175,vic,19160819,7677004,191
alessandra,thorpe,33,crowder ckrcuit,melrosefarm,karalee,7250,qld,19080406,8221563,192
alexander,musolino,43,duggan street,the bend,kingsford,2483,nsw,19850417,4595017,193
sebastian,mcneill,3,ferndale,dryandra street,west lakes,2265,vic,,2765960,194
jasmyn,lowe,48,toohey place,grand ecntral,bicton,3085,nsw,19320918,1430128,195
damien,webb,34,molesworth street,fairfield housing bg,werribeesouth,2484,qld,19440826,5682631,196
luke,rollins,360,hickenbotham street,,arundel,2221,qld,19240109,6938121,197
hamish,mason,7,langdonavenue,stokes crossing,yarrambat,4060,tas,19010712,6379466,198
julia,clarke,84,marconi crescent,hamilton park,whitfield,2642,wa,,2329598,199
amy,hawes,68,hyne p cace,,mentone,6022,nsw,19400129,5599177,200
taliah,armanini,23,lind close,telebangstation,matraville,4071,vic,19210204,4931434,201
dylan,covino,63,mcgowanwplace,pine creek drubyvale,camden ssouth,2280,wa,19880205,9610572,202
jacina,frencham,12,bean crescent,barwon station,narellan,3074,qld,,3787817,203
christopher,menzies,39,,kinglake central,malzern,2621,nsw,19180721,8813225,204
lauren,mellick,54,lewis luxton aevnue,,cooks hill,2161,qld,19561107,9988724,205
seth,jolly,16,reddall close,arrowgrove,colac,4370,qld,,7445552,206
,dunnicliff,79,banfield street,milton,,2116,vic,19130108,6220830,207
indywna,clarke,,fisher street,mountain view village,wetherill park,4211,vic,19170704,3405046,208
josephine,mahon,99,servicestreet,clarkoqod,arana hills,2580,nsw,19131111,4786683,209
benjamin,blake,23,tantangarastreet,summit cottage,oaklands park,2640,wa,19270916,6285591,210
,ebert,69,rapanea street,pangabi,,6061,nsw,19310909,9105802,211
brooke,homles,,yiman street,high valley,camra,5043,nsw,19360812,5450160,212
tess,green,60,,ryhd-talog,port macquarie,3013,vic,19600324,5445613,213
talia,green,8,groom street,ikllke,medina,3500,wa,19800109,7656892,214
bianca,morrion,224,sharladn place,brindabella specialist centre,evanstin,4702,vic,19040728,1392522,215
ruby,garnsey,317,harcourt street,navan park,north narrabeen,4163,nsw,19731030,5892459,216
,millar,2,coglinp lace,hmas cerekrus,burrum heads,4157,vic,19591021,5479529,217
zali,walppkle,25,william husson crescent,muralappi,brymaroo,3147,wa,19550701,9616019,218
abey,simmonds,13,greenvale street,haven vourt,campbellfield,4069,qld,19141205,2403689,219
,whishaw,25,roseberyhill,ashcroft crescent,vaucluse,4607,nsw,19070127,3381395,220
lauren,shack,345,rushbroo k circuit,research station,warrandyte,4740,tas,19590103,1987058,221
kailey,thredgild,20,renwick smtreet,,blacktown,4116,qld,19660923,6956824,222
calbe,bristow,134,brunswic circuit,granny flat rear,mclaren flat,5019,tas,19720321,7570563,223
joshu a,browne,28,paul coe vrescent,the pinacle,williajstown,2271,vic,19091031,4631516,224
bianca,thurlow,29,,shack 118,mal vern,2852,vic,19120204,8574662,225
portia,bandte,5,namatjira drive,willyaroo street,rostrevor,3084,wa,19800709,3676482,226
brayden,coleman,21,paul coecrescent,westfalls,greenwith,5047,vic,19500606,1790784,227
thomas,edis,61,kellick place,f lt h0,bateman,3782,nsw,19890830,6857124,228
noah,birthisel,,marulda street,nunkeri,abbotsford,2820,vic,19960805,7177159,229
nikita,leditchke,86,sidaways treet,parkdalel odge,mirrabooka,2031,vic,19510630,1387001,230
jaden,mccarthy,,rubbo crecsent,glendas,gosford eagt,5641,qld,19030106,8577794,231
liam,scerri,55,benham street,the sycmaores,berwick,6155,vic,19320829,9489744,232
jessica,painton,92,gallagher street,berkeley lvge,north bondi,7440,nsw,19430327,2751175,233
amy,sommariva,26,fernie place,glenfine station,surrey hills,6167,tas,19920303,8853255,234
caitlin,de boar,21,crisp street,section,ja n juc,5400,nws,19460307,3080624,235
erin,te kawau,5,namatjira drive,glen are,magill,2324,qld,19641126,6335645,236
liam,whiitn,33,hargrave street,buderim emadows,,7250,nsw,19141012,6654477,237
oliver,dent,39,noble place,bellam ib,strathalbyn,3088,sa,19051006,4438825,238
angeilda,domkus,9,stanfield close,bowser,modbury heights,2232,qld,19690820,8976049,239
lauren,dent,42,lindrum crescent,hamilton,bidwill,2905,vic,19840916,7699699,240
emiily,stanley,9,spofforth street,thefal ls,sherwood,3150,nsw,19381021,7253600,241
tegan,galbraith,130,pinkerton circuit,,altona ymedaows,6020,wa,19850912,9290065,242
imogen,kioscses,2,quandong street,overnewton,arundel,5024,sa,19751002,1581588,243
,priest,41,fink crescent,nioka,broken hill,2340,nsw,19060617,7169908,244
todd,allabanda,,pindari crescent,afflepxian,ottoway,2074,qld,19120701,9676170,245
jessica,osfiled,8,woinarski place,,paddington,7010,qld,19830206,9942050,246
chloe,white,101,goldstein ctrescent,brentwood vlge,stoneyford,2212,nsw,19181228,5862107,247
william,george,,kidman pclose,ocean breeze,yambs,3438,sa,19250214,9555322,248
natalie,clarke,11,narryer close,,aranah ills,3016,vic,19281031,8177483,249
carla,gasparin,122,fitchett street,marx hills treet,burrum heads,3022,nsw,19511229,7746397,250
anita,afflrd,19,andamookastreet,,lilydale,5631,,19391104,6863258,251
joel,bartel,6,chewings street,buena fista,sea lake,2777,nsw,19550822,9818191,252
evan,calio,40,sugarloaf tcircuit,mulvra,karalee,3033,nsw,19251026,1186290,253
vanessa,geogre,,cleland street,rowethope,mount isa,4122,nsw,19420220,3116789,254
racehl,pusz,17,chewings street,mowbray,seymour,6066,sa,19531221,7559316,255
jackoson,edgecombe,3,ranken place,johamelnine,bonytho,5167,wa,19970731,5991164,256
deakin,sarah,8,wellsgarden,rpc 371031,berwick,2203,nsw,19851002,4961865,257
alexander,webb,115,gaby place,albioj grove,springfield,2902,nsw,19760418,5411978,258
james,worsleyw,1,pike p lace,melaleuca,broadmeadows,4818,nt,19651211,6697804,259
dylyan,pinhiro,7,canopus crescent,strabane,birkdale,5050,nsw,19131214,2918000,260
mitchell,cute,161,buntine xmrescent,murray river queen,lake muhmorah,2518,vic,19470802,9610204,261
luyc,braithwaite,65,ellerston avenue,marx garden world,munno para west,2705,qld,19580501,6060746,262
jessxia,wiseman,23,spowers circuit,woodbine homestead,carnegie,2018,nsw,19641123,4608861,263
jaslyn,jonjic,1,lindrum crescent,,ascot park,4213,vic,19250102,1023721,264
jack,harrington,1385,gladstone street,amberu,watsonia,4066,nsw,19820311,7610085,265
holly,ang,9,pinkerto circuit,professional centre,robina,3919,vic,19300225,1127897,266
katherine,lovk,16,kootingas treet,,montmorency,3023,nsw,19400714,9161147,267
micha el,george,8,burkitt street,halfmoonl station,toowoomba,2026,nsw,19350215,3561120,268
tori,mcgarrigan,2,hallen close,,bangor,6004,wa,19841007,5119714,269
brody,stearnnes,7,fincham crescent,binnal ong,thornbury,3639,vic,19440417,8363677,270
riley,paddon,5,burdekin street,rosetta village,mount aliza,6230,vic,19510214,4214905,271
kiana,lenzi,35,bugden avenue,the maadxows,goodooga,2075,,19110824,6557448,272
tabitha,orchard,2,marsden qstreet,john flynn medical centre,mount low,3179,nsw,19230831,1102361,273
annik a,boyle,10,,,paddington,3175,qld,,7187050,274
erin,carbone,7,carr crescent,bexlye,matravlle,2452,nsw,19801216,8840510,275
,campton,31,kennewellp lace,palms lodge,coolbellup,4711,nsw,,2809212,276
connor,trait,6,lane place,,leichhardt,3337,vic,19150208,1776479,277
matthw,tombleson,37,blackett xrescent,coranidrk,broken hill,3046,nsw,19410702,4972641,278
joshua,edmeades,01,bonney street,,cawarral,3730,nsw,19350621,1358747,279
heath,tao,1,holden cfescent,,cooloongup,2594,nsw,19420605,9669484,280
alysha,nguyen,7,hurleystreet,avenue road,brunkerville,3904,nsw,19970304,4977712,281
luc,morriaon,3,starke street,sheeo station,petersham,5020,nsw,19271205,8707221,282
mia,wilkins,22,greenstreet,liselican,darlintgon,3101,,19610512,5342428,283
thoma s,santi,138,krichaufd street,rose-elea,port pirie,3976,vic,19590808,5694951,284
paris,negrein,30,stapylton street,treleen,coleambally,2145,qld,19620726,4121618,285
georg e,mccarethy,35,clubbe crescent,yakill i park,mentone,2540,vic,19350704,9460223,286
josua,caromdy,19,shakespeare crescent,kellhaven,edensor pak,3250,qld,19050227,6686589,287
amber,schmelter,10,o'connor circuit,,hermidale,3038,nws,19740411,2810306,288
hannah,sinoch,9,blackwell ycircuit,st francis vlge,broadmeadows,2650,vic,19770628,4760009,289
maria,dun,28,sheaffe xtreet,brookvale,midway point,2229,wa,19990308,2567879,290
lachlan,rollitt,566,cossington smith crescent,the mano rgarden,,3215,qld,19051107,2847641,291
alesha,hinfston,41,epenarr aclose,compton downs hostel,mentone,4215,nsw,19240921,8948668,292
sophie,mcilar,10,steinwedl street,ponderosa,geelong ast,3550,qld,19640509,4135696,293
wio,whiteley,93,simpson ustreet,strathleven,kingston,2151,wa,19440822,8896048,294
sophie,noble,1,yambina crescent,sefton park,rues,6210,nsw,19440101,3325291,295
joshua,beaty,19,blackwood terrace,the summre house,prosplect,6163,vic,19721121,1725695,296
charlie,wakpbole,43,lampard circuit,the meadows,albertno,2750,sa,19260710,5982948,297
heatfer,paulsen,1,ahern place,unu 3,kilmore,2504,qld,19840615,3281035,298
benjamin,donaldson,34,dunoon street,westwood homestead,st algans,2611,nsw,19331111,2281465,299
blakeston,lock,59,bonnor close,,ment one,7140,wa,19590930,6335558,300
annabel,thropr,21,airey crescent,galloway,rokeby,4670,vic,19920305,2814912,301
jacob,webb,6,majura road,moline ivllage,ashfield,4352,tas,19470221,1586712,302
brody,nguyen,93,,mt derriwong,lauderdale,2153,wa,19970629,2691340,303
jake,tweedie,12,flinders way,guest vlge,texas,4570,vic,19460308,5178030,304
jackson,carbone,133,mileham street,,carraqnballac,3139,qld,,6993200,305
emiily,green,24,luehmanh street,tawonga rdside,rose bay,2350,wa,19190825,2408163,306
rifey,dumbrell,11,terry close,,naremburn,3031,qld,19870116,3888893,307
kobe,jolly,26,alroy circuit,salmaldo caravgan park,kyabram,6317,sa,19841213,4583639,308
georgia,lionis,,fitchett street,summerh hill,dundowran,5520,vic,19910624,7770207,309
pearson,mesecke,17,carruthers street,villa 147 henry kendall bayside,glendlae,3850,nsw,19650218,8701573,310
adam,ewald,,wentcher place,longstay caravn park,kempsey,5902,nsw,19180203,2268410,311
michelle,dearing,183,riordanstreet,dunbar heights,coomera,3219,wa,19000323,4082175,312
,pringle,46,woodfulldloop,,woori yallock,6101,vic,19250210,4259044,313
carmen,wisemdan,2,sherwin place,wangi shoppng centre,newborough,2216,wa,19000714,2741568,314
jasmine,web,1,duffy street,,parkside,2105,vic,19440610,1750989,315
jarld,felegpa,63,badimara street,,frenchs f orest,4821,nsw,19610421,8535978,316
jarred,rider,,robinsonstreet,,evans head,3123,nsw,19401202,2875179,317
cale,spurden,119,mcalpine place,greensopes,boyne island,4228,sa,19580816,8017617,318
alexander,kerslake,8,pridham street,fm 627,ascot park,2036,wa,19120211,9737053,319
zachary,croker,27,guthridg ecrescent,,rydd,3143,nsw,19630415,9034657,320
kylb,careless,75,mcbryde crescent,rowethorpe cgynet hostel,ivanoe,6074,sa,,3208751,321
christopher,pegg,56,martens crescent,diamon dsands,embleron,2577,qld,19200214,5556197,322
jacobie,white,27,pitcaibr street,willowfield,sefton,2565,wa,19940831,6421870,323
saara,ljubic,2,tompsitt court,gracewood aged care centre,melvil le,4575,sa,19970725,3886202,324
